record_id,doi,title,year,openalex_id,query_ids,openalex_work_type,known_anchor,live_concept_filter_drift,missing_live_concepts,title_floral,title_pollinator,title_antagonist,abstract_floral,abstract_pollinator,abstract_antagonist,title_floral_matches,title_pollinator_matches,title_antagonist_matches,abstract_floral_matches,abstract_pollinator_matches,abstract_antagonist_matches,machine_priority,machine_note,formal_title_abstract_decision,formal_title_abstract_reason
SCHPRISMA-000175,10.3389/fpls.2021.640141,Cross-Species Metabolic Profiling of Floral Specialized Metabolism Facilitates Understanding of Evolutional Aspects of Metabolism Among Brassicaceae Species,2021,https://openalex.org/W3140042874,Q01,article,NO,NO,,YES,NO,NO,YES,YES,YES,floral,,,floral;flowers,pollination;pollinators,herbivores,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000176,10.1111/een.13407,Cucumber beetles negatively impact pollinator visitation to cucurbit flowers,2024,https://openalex.org/W4404769839,Q05,article,NO,NO,,YES,YES,NO,YES,YES,YES,flowers,pollinator,,floral;flower;flowers,pollination;pollinator;pollinators,herbivores;herbivorous;herbivory,HIGH_TITLE_PAIR,Two registered concepts occur in the title; inspect abstract/context.,,
SCHPRISMA-000177,10.47749/t/unicamp.2017.986040,Dano foliar afeta a interação entre Trichogoniopsis adenantha (Asteraceae) e seus visitantes florais?,2017,https://openalex.org/W4231941193,Q01;Q04;Q05;Q08;Q09;Q10;Q11;Q13,dissertation,NO,NO,,NO,NO,NO,YES,YES,YES,,,,flower;flowers,flower visitors;pollination,herbivory,ABSTRACT_ONLY,All registered concepts are recovered only after abstract information is considered.,,
SCHPRISMA-000178,,"Darwin’s naturalization hypothesis : phylogeny, enemy release and multi-trophic interactions",2019,https://openalex.org/W3033785954,Q10,dissertation,NO,NO,,NO,NO,NO,YES,YES,YES,,,,flowers,pollination,herbivore;herbivorous;herbivory,ABSTRACT_ONLY,All registered concepts are recovered only after abstract information is considered.,,
SCHPRISMA-000179,10.1111/j.1469-8137.2009.02974.x,Darwinism renewed: contemporary studies of plant adaptation,2009,https://openalex.org/W1990743206,Q06;Q10,article,NO,NO,,NO,NO,NO,YES,YES,YES,,,,floral;flower;flowers,pollination;pollinator;pollinators,antagonistic;herbivore;herbivores;parasites,ABSTRACT_ONLY,All registered concepts are recovered only after abstract information is considered.,,
SCHPRISMA-000180,10.5061/dryad.s7h44j1pf,Data from: Complex multitrophic species interactions and fitness costs: Intricate consequences of jasmonate and salicylate induced plant defenses,2026,https://openalex.org/W7138217814,Q12,dataset,NO,NO,,NO,NO,NO,YES,YES,YES,,,,floral;flowers,pollinator,herbivore;herbivores;herbivory;seed predation;seed predators,ABSTRACT_ONLY,All registered concepts are recovered only after abstract information is considered.,,
SCHPRISMA-000181,10.5061/dryad.xpnvx0kvp,Data from: Plant responses to herbivory shift the contributions of different pollinator taxa to plant reproduction,2025,https://openalex.org/W7127384655,Q10,dataset,NO,NO,,NO,YES,YES,YES,YES,YES,,pollinator,herbivory,floral,pollination;pollinator;pollinators,antagonistic;antagonists;herbivore;herbivores;herbivory,HIGH_TITLE_PAIR,Two registered concepts occur in the title; inspect abstract/context.,,
SCHPRISMA-000182,10.5061/dryad.73n5tb3c9,Data from: The Red Queen unveils the sexual and mating strategies of flowers,2026,https://openalex.org/W7153164328,Q10,dataset,NO,NO,,YES,NO,NO,YES,YES,YES,flowers,,,floral,pollinators,antagonistic;herbivores;herbivory;parasites,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000183,10.5281/zenodo.19110145,Data from: The Red Queen unveils the sexual and mating strategies of flowers,2026,https://openalex.org/W7153251867,Q10,software,NO,NO,,YES,NO,NO,YES,YES,YES,flowers,,,floral,pollinators,antagonistic;herbivores;herbivory;parasites,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000184,10.5281/zenodo.19110146,Data from: The Red Queen unveils the sexual and mating strategies of flowers,2026,https://openalex.org/W7153127313,Q10,other,NO,NO,,YES,NO,NO,YES,YES,YES,flowers,,,floral,pollinators,antagonistic;herbivores;herbivory;parasites,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
