review_order,record_id,doi,title,year,openalex_id,query_ids,openalex_work_type,machine_priority,live_concept_filter_drift,missing_live_concepts,title_floral_matches,title_pollinator_matches,title_antagonist_matches,abstract_floral_matches,abstract_pollinator_matches,abstract_antagonist_matches,human_title_abstract_decision,human_title_abstract_reason,human_note
1,SCHPRISMA-000192,10.7554/elife.65610.sa1,Decision letter: Inbreeding in a dioecious plant has sex- and population origin-specific effects on its interactions with pollinators,2021,https://openalex.org/W4250626928,Q01;Q05;Q09,peer-review,LIVE_CONCEPT_FILTER_DRIFT,YES,antagonist,,pollinators,,floral,pollinator,,,,
2,SCHPRISMA-000108,10.3389/fpls.2021.767725,Breeding System and Response of the Pollinator to Floral Larceny and Florivory Define the Reproductive Success in Aerides odorata,2022,https://openalex.org/W4206194090,Q08;Q10;Q13,article,HIGH_TITLE_TRIPLE,NO,,floral,pollinator,florivory,floral;flower,pollination;pollinations;pollinator;pollinators,florivore;florivores;florivory;herbivores;nectar robbers;nectar thieving,,,
3,SCHPRISMA-000110,10.1111/nph.70859,Brood pollination mutualism between cryptic‐flower Aspidistra and pollen‐parasite midges,2025,https://openalex.org/W7117453468,Q03;Q12,article,HIGH_TITLE_TRIPLE,NO,,flower,pollination,parasite,floral;flower;flowers,pollinated;pollination;pollinators,oviposited;parasite;parasites;parasitism;seed predators,,,
4,SCHPRISMA-000121,10.18174/472043,Caught between friends and foes : plant-mediated interactions between herbivores and flower visitors,2019,https://openalex.org/W2943477571,Q01;Q02;Q03;Q05;Q08;Q10;Q11;Q12,dissertation,HIGH_TITLE_TRIPLE,NO,,flower,flower visitors,herbivores,flower;flowers,flower visitors,herbivore,,,
5,SCHPRISMA-000127,10.1101/2022.05.16.492032,Cheaters among pollinators: Floral traits drive spatiotemporal variation in nectar robbing and thieving in Afrotropical rainforests,2022,https://openalex.org/W4280500629,Q09;Q10;Q13,preprint,HIGH_TITLE_TRIPLE,NO,,floral,pollinators,nectar robbing,floral;flower;flowers,flower visitors;pollinated,exploitation;nectar robbed;nectar robbing,,,
6,SCHPRISMA-000128,10.1002/ecs2.4696,Cheaters among pollinators: Nectar robbing and thieving vary spatiotemporally with floral traits in Afrotropical forests,2023,https://openalex.org/W4388776165,Q10;Q13,article,HIGH_TITLE_TRIPLE,NO,,floral,pollinators,nectar robbing,floral;flower;flowers,pollinating;pollinator,antagonists;exploiters;nectar robbers,,,
7,SCHPRISMA-000141,10.1093/isd/ixaa005,Community Structure and Undescribed Species Diversity in Non-Pollinating Fig Wasps Associated with the Strangler Fig Ficus petiolaris,2020,https://openalex.org/W3022591066,Q05,article,HIGH_TITLE_TRIPLE,NO,,fig,pollinating,non-pollinating,fig;figs;flowers,pollinating,non-pollinating;parasitic,,,
8,SCHPRISMA-000153,10.3390/plants13243520,"Conflicting Dynamics of Galling and Pollination: Arastichus gallicola (Hymenoptera, Eulophidae), a Specialized Parasitic Galler in Pistillate Flowers of Thaumatophyllum bipinnatifidum (Araceae)",2024,https://openalex.org/W4405459792,Q03;Q12,article,HIGH_TITLE_TRIPLE,NO,,flowers,pollination,parasitic,floral,pollination,antagonistic;oviposition;parasitic,,,
9,SCHPRISMA-000166,10.1093/aob/mcl267,"Corolla Herbivory, Pollination Success and Fruit Predation in Complex Flowers: An Experimental Study with Linaria lilacina (Scrophulariaceae)",2007,https://openalex.org/W2122864351,Q08;Q10,article,HIGH_TITLE_TRIPLE,NO,,flowers,pollination,herbivory,floral;flower;flowers,pollinated;pollinator;pollinators,antagonistic;herbivores;herbivory,,,
10,SCHPRISMA-000188,10.1111/1365-2435.13035,"Dealing with mutualists and antagonists: Specificity of plant‐mediated interactions between herbivores and flower visitors, and consequences for plant fitness",2017,https://openalex.org/W2780310350,Q01;Q02;Q03;Q05;Q10;Q11;Q12,article,HIGH_TITLE_TRIPLE,NO,,flower,flower visitors,antagonists;herbivores,flower,flower visitor;flower visitors;pollinator;pollinators,antagonist;antagonists;florivore;herbivore;herbivores;herbivory,,,
11,SCHPRISMA-000105,10.5194/we-26-83-2026,Blueberry floral morphology influences pollinator visitation and behavioural patterns,2026,https://openalex.org/W7164409219,Q13,article,HIGH_TITLE_PAIR,NO,,floral,pollinator,,floral;flower;flowers,floral visitors;flower visitors;pollination;pollinator;pollinators,nectar robbing,,,
12,SCHPRISMA-000116,10.1086/716637,Can Conflicting Selection from Pollinators and Nectar-Robbing Antagonists Drive Adaptive Pollen Limitation? A Conceptual Model and Empirical Test,2021,https://openalex.org/W3185522226,Q13,article,HIGH_TITLE_PAIR,NO,,,pollinators,antagonists,floral;flower,pollination;pollinator;pollinators,antagonist;antagonists;nectar robbers;nectar robbery,,,
13,SCHPRISMA-000131,10.1039/d3np00024a,"Chemistry, biosynthesis and biology of floral volatiles: roles in pollination and other functions",2023,https://openalex.org/W4386407442,Q01;Q05,article,HIGH_TITLE_PAIR,NO,,floral,pollination,,floral;flower;flowers,pollinators,herbivores,,,
14,SCHPRISMA-000132,10.3732/ajb.1200636,"Choices and consequences of oviposition by a pollinating seed predator, Hadena ectypa (Noctuidae), on its host plant, Silene stellata (Caryophyllaceae)",2013,https://openalex.org/W2103033691,Q12,article,HIGH_TITLE_PAIR,NO,,,pollinating,oviposition;seed predator,floral;flower;flowers,pollinating;pollination,oviposited;oviposition;seed predator;seed predators;seed-predator,,,
15,SCHPRISMA-000146,10.1111/j.1365-294x.2011.05296.x,Comparative population genetic structure in a plant-pollinator/seed predator system,2011,https://openalex.org/W2068263477,Q12,article,HIGH_TITLE_PAIR,NO,,,pollinator,seed predator,flowers,pollinator,seed predator,,,
16,SCHPRISMA-000147,,"Comparative Study on Flower Trait,Pollinator Visitation Rate and Seed Production of Two Pedicularis Species",2011,https://openalex.org/W2359203354,Q09,article,HIGH_TITLE_PAIR,NO,,flower,pollinator,,fig;flower;flowers,pollinator;pollinators,herbivore;herbivores,,,
17,SCHPRISMA-000152,10.1101/370700,Conflict of evolutionary interests between plants and pollinators revealed through functional exploration of flower morphospace,2018,https://openalex.org/W2884433249,Q13,preprint,HIGH_TITLE_PAIR,NO,,flower,pollinators,,flower,pollinator;pollinators,parasite,,,
18,SCHPRISMA-000155,10.1002/ecy.4306,Consequences of pollen defense compounds for pollinators and antagonists in a pollen‐rewarding plant,2024,https://openalex.org/W4394618967,Q05;Q06;Q10,article,HIGH_TITLE_PAIR,NO,,,pollinators,antagonists,flower;flowers,pollinator;pollinators,antagonists;herbivores,,,
19,SCHPRISMA-000161,10.3390/insects7020023,Contrasting Foraging Patterns: Testing Resource-Concentration and Dilution Effects with Pollinators and Seed Predators,2016,https://openalex.org/W2419435084,Q10;Q12,article,HIGH_TITLE_PAIR,NO,,,pollinators,seed predators,flower;flowers,pollination;pollinators,seed predation;seed predators,,,
20,SCHPRISMA-000164,10.1111/j.1469-8137.2005.01511.x,"Coping with third parties in a nursery pollination mutualism: Hadena bicruris avoids oviposition on pathogen‐infected, less rewarding Silene latifolia",2005,https://openalex.org/W2114641161,Q01;Q08;Q09;Q10,article,HIGH_TITLE_PAIR,NO,,,pollination,oviposition,flower;flowers,pollinated;pollinating;pollination;pollinator,antagonism;oviposition,,,
21,SCHPRISMA-000165,10.3390/biology10090903,Corolla Abscission Triggered by Nectar Robbers Positively Affects Reproduction by Enhancing Self-Pollination in Symphytum officinale (Boraginaceae),2021,https://openalex.org/W3200624213,Q10;Q13,article,HIGH_TITLE_PAIR,NO,,,pollination,nectar robbers,blossom;floral;flower,pollination,nectar robbers;nectar robbing,,,
22,SCHPRISMA-000168,10.3732/ajb.93.1.64,Correlations among traits associated with herbivore resistance and pollination: implications for pollination and nectar robbing in a distylous plant,2006,https://openalex.org/W2106263507,Q08;Q09;Q10;Q12;Q13,article,HIGH_TITLE_PAIR,NO,,,pollination,herbivore;nectar robbing,floral;flower;flowers,floral visitors;pollination;pollinators,herbivore;herbivores;herbivory;nectar robber,,,
23,SCHPRISMA-000170,10.1002/ecy.2395,Costs and benefits of alternative food handling tactics help explain facultative exploitation of pollination mutualisms,2018,https://openalex.org/W2803152041,Q13,article,HIGH_TITLE_PAIR,NO,,,pollination,exploitation,flower;flowers,,exploit;exploitation;exploitative;exploiters;nectar robbing,,,
24,SCHPRISMA-000171,,Coupled reproductive ecologies in a plant-pollinator-seed predator system,2011,https://openalex.org/W2795051130,Q12,dissertation,HIGH_TITLE_PAIR,NO,,,pollinator,seed predator,floral;flower,pollinated;pollination;pollinator;pollinators,exploitation;exploitations;oviposition;seed predator,,,
25,SCHPRISMA-000173,10.3389/fpls.2018.01357,Crop Domestication Alters Floral Reward Chemistry With Potential Consequences for Pollinator Health,2018,https://openalex.org/W2892712215,Q01;Q04;Q05;Q13,article,HIGH_TITLE_PAIR,NO,,floral,pollinator,,floral,pollination;pollinator;pollinators,herbivore,,,
26,SCHPRISMA-000176,10.1111/een.13407,Cucumber beetles negatively impact pollinator visitation to cucurbit flowers,2024,https://openalex.org/W4404769839,Q05,article,HIGH_TITLE_PAIR,NO,,flowers,pollinator,,floral;flower;flowers,pollination;pollinator;pollinators,herbivores;herbivorous;herbivory,,,
27,SCHPRISMA-000181,10.5061/dryad.xpnvx0kvp,Data from: Plant responses to herbivory shift the contributions of different pollinator taxa to plant reproduction,2025,https://openalex.org/W7127384655,Q10,dataset,HIGH_TITLE_PAIR,NO,,,pollinator,herbivory,floral,pollination;pollinator;pollinators,antagonistic;antagonists;herbivore;herbivores;herbivory,,,
28,SCHPRISMA-000191,10.7554/elife.07641.008,Decision letter: How scent and nectar influence floral antagonists and mutualists,2015,https://openalex.org/W4239667223,Q01;Q02;Q04;Q05;Q10;Q11;Q13,peer-review,HIGH_TITLE_PAIR,NO,,floral,,antagonists,floral;flowers,pollinate;pollination;pollinator;pollinators,herbivore;herbivores,,,
29,SCHPRISMA-000199,10.1111/1365-2656.12161,Determination of temperate bird–flower interactions as entangled mutualistic and antagonistic sub‐networks: characterization at the network and species levels,2013,https://openalex.org/W1986969455,Q09;Q10;Q13,article,HIGH_TITLE_PAIR,NO,,flower,,antagonistic,flower;flowers,pollinator;pollinators,antagonistic,,,
